feature,importance
month_Mar,0.07419608
month_Feb,0.05166348
month_Jun,0.05086101
month_Nov,0.049879562
route_pair_SP->SP,0.03732643
customer_state_SP,0.036679693
customer_state_MG,0.033170056
month_Jul,0.023303011
customer_state_RJ,0.019717086
month_Aug,0.01809781
month_Dec,0.01651494
route_pair_PR->PR,0.016437257
route_pair_MG->MG,0.015971094
promised_lead_days,0.014783647
customer_state_SC,0.012977988
customer_state_PR,0.012598133
customer_lng,0.011191885
month_May,0.010863366
route_pair_PI->PI,0.010220293
month_Oct,0.00928139
customer_lat,0.008941465
route_pair_SC->SC,0.008856056
customer_state_AL,0.008519528
distance_band_50-150,0.008504941
customer_state_MS,0.008317831
proxy_seller_state_MG,0.00816879
route_pair_BA->BA,0.008075542
route_pair_AL->PE,0.007919346
proxy_seller_state_PR,0.0075776693
customer_state_PE,0.0074326703
customer_state_BA,0.007253367
month_Apr,0.007072559
month_Sep,0.006462959
customer_state_ES,0.006363749
proxy_seller_state_MS,0.006140811
month_Jan,0.006137431
seller_state_match,0.0061294916
is_holiday,0.0060560373
proxy_seller_state_CE,0.0059665903
route_pair_RJ->RJ,0.005790758
proxy_seller_state_SC,0.0057596215
route_pair_MS->PR,0.0057582846
distance_km,0.005750671
route_pair_ES->ES,0.005738048
route_pair_CE->CE,0.005624104
route_pair_GO->GO,0.005578147
customer_state_MA,0.005530946
proxy_seller_state_RS,0.005437918
customer_state_CE,0.005322454
proxy_seller_state_SP,0.00530644
proxy_seller_state_DF,0.005094134
customer_state_DF,0.0050747707
proxy_seller_state_RJ,0.0050639166
day_of_week_Tuesday,0.00503135
route_pair_PE->PE,0.0049959365
route_pair_PA->AM,0.0049249073
customer_state_PA,0.0048711016
day_of_week_Monday,0.0047574923
proxy_seller_state_GO,0.0047428217
route_pair_DF->DF,0.004628476
day_of_week_Saturday,0.0045993025
proxy_seller_state_PI,0.0045764814
route_pair_MA->MA,0.0044366787
customer_state_PI,0.0044188993
customer_state_RN,0.0042214165
route_pair_PI->CE,0.0042055245
route_pair_RJ->RN,0.0042036036
route_pair_PB->PB,0.0042008674
proxy_seller_state_SE,0.004156613
is_weekend,0.0041135256
day_of_week_Wednesday,0.0040874854
proxy_seller_state_MA,0.0040481878
proxy_seller_state_RO,0.004042662
day_of_week_Thursday,0.0040202225
customer_state_GO,0.004000864
proxy_seller_state_PB,0.003995477
purchase_hour,0.0039906166
day_of_week_Friday,0.003971663
distance_band_0-50,0.003970563
proxy_seller_state_ES,0.003958855
proxy_seller_state_PE,0.003949461
proxy_seller_state_RN,0.0039032346
distance_band_300-600,0.0038283165
route_pair_RJ->SP,0.003812826
proxy_seller_state_AM,0.0037336536
route_pair_MA->PI,0.0036259545
route_pair_SE->SE,0.003602507
day_of_week_Sunday,0.003584263
proxy_seller_state_MT,0.0034814193
distance_band_150-300,0.0034057803
customer_state_AM,0.0033897348
customer_state_RS,0.0033876258
route_pair_MT->GO,0.0033794574
route_pair_RS->RS,0.0033517308
route_pair_PE->PB,0.0032999893
proxy_seller_state_BA,0.0032410785
route_pair_PE->BA,0.0032359234
route_pair_MG->BA,0.0031109175
route_pair_SC->SP,0.0029636715
route_pair_PR->SP,0.0028920164
route_pair_RN->PB,0.0028605468
route_pair_MS->GO,0.0027804621
customer_state_AP,0.0027776866
customer_state_AC,0.0027020175
route_pair_TO->PI,0.0026881492
customer_state_RO,0.002661545
route_pair_PE->CE,0.0026586526
proxy_seller_state_AC,0.00265115
route_pair_GO->DF,0.002646273
customer_state_MT,0.0025535615
route_pair_MG->SP,0.002550626
route_pair_RJ->ES,0.0025492723
route_pair_ES->SP,0.002522175
route_pair_SP->MG,0.002457933
route_pair_MG->ES,0.0022690338
route_pair_GO->MG,0.0022095134
route_pair_SC->PR,0.002173437
route_pair_PR->SC,0.002172453
distance_band_1000+,0.002112476
customer_state_RR,0.002087301
route_pair_RO->RO,0.002048769
route_pair_MG->GO,0.0020481092
route_pair_MG->RJ,0.0019173514
customer_state_TO,0.00191201
route_pair_RN->RN,0.0019020566
route_pair_RS->SC,0.0018380886
route_pair_MS->SP,0.0017652806
route_pair_MS->MS,0.001671205
route_pair_BA->SE,0.0014114932
route_pair_MT->MT,0.0013568256
route_pair_TO->GO,0.0012347726
route_pair_PA->GO,0.0011737233
route_pair_PA->MA,0.0008236345
customer_state_PB,0.0
route_pair_AC->AC,0.0
customer_state_SE,0.0
distance_band_600-1000,0.0
route_pair_AM->RO,0.0
route_pair_AP->AM,0.0
route_pair_AP->MA,0.0
route_pair_BA->MG,0.0
route_pair_MA->CE,0.0
route_pair_MA->BA,0.0
route_pair_GO->MS,0.0
route_pair_ES->MG,0.0
route_pair_CE->RN,0.0
route_pair_DF->MT,0.0
route_pair_DF->SP,0.0
route_pair_ES->AM,0.0
route_pair_AL->MG,0.0
route_pair_AL->BA,0.0
route_pair_AM->AM,0.0
route_pair_AL->SE,0.0
route_pair_PA->CE,0.0
route_pair_PA->MT,0.0
route_pair_MT->MS,0.0
route_pair_MT->RO,0.0
route_pair_PI->BA,0.0
route_pair_PE->MG,0.0
route_pair_PB->CE,0.0
route_pair_PB->PE,0.0
route_pair_PR->BA,0.0
route_pair_PR->CE,0.0
route_pair_RJ->BA,0.0
route_pair_RJ->MG,0.0
route_pair_RR->AM,0.0
route_pair_RJ->SE,0.0
route_pair_RS->SP,0.0
route_pair_SC->RS,0.0
route_pair_SE->BA,0.0
route_pair_SP->PR,0.0
route_pair_SP->RJ,0.0
route_pair_TO->MA,0.0
